City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
357,Valer,60.6785,11.8331,47.28,91,100,3.83,overcast clouds
358,Mogadishu,2.0371,45.3438,79.02,83,9,11.56,clear sky
359,Whitefish,48.4111,-114.3376,46.15,49,90,10.36,overcast clouds
360,Kaputa,-8.4689,29.6619,73.0,66,11,1.12,few clouds
361,Berlevag,70.8578,29.0864,30.56,65,37,15.48,scattered clouds
362,Mount Gambier,-37.8333,140.7667,60.71,88,90,11.5,light rain
363,Araguacu,-12.9306,-49.8264,82.15,55,94,3.67,overcast clouds
364,Gafanha Da Encarnacao,40.6181,-8.733,55.27,84,4,3.94,clear sky
365,Kloulklubed,7.0419,134.2556,86.5,70,100,8.84,overcast clouds
366,Inuvik,68.3499,-133.7218,29.16,100,90,0.0,mist
367,Vila Franca Do Campo,37.7167,-25.4333,68.41,84,100,9.62,overcast clouds
368,Vila Velha,-20.3297,-40.2925,75.15,88,75,4.61,broken clouds
369,Huaicheng,23.9051,112.1931,68.22,70,100,2.01,overcast clouds
370,Komsomolskiy,40.4272,71.7189,50.72,57,100,9.22,haze
371,Kutum,14.2,24.6667,69.67,19,47,7.94,scattered clouds
372,Caravelas,-17.7125,-39.2481,74.21,86,29,8.16,scattered clouds
373,Esqueda,30.7167,-109.5833,59.2,22,0,4.38,clear sky
